ID	Language_ID	Parameter_ID	Form	Value	Segments
mnc-295_north-1	mnc	295_north	amarki	amargi	a m a r k i
mnc-884_add-1	mnc	884_add	nɤmɤmpi	nemembi	n ɤ m ɤ m p i
mnc-926_rescue-1	mnc	926_rescue	tʰut͡ʃimpi	tucimbi	tʰ u tʃ i m p i
mnc-402_path-1	mnc	402_path	tɔkʰɔ d͡ʒukʊn	doko jugūn	t ɔ kʰ ɔ + dʒ u k ʊ n
mnc-226_fairytale-1	mnc	226_fairytale	ulapun	ulabun	u l a p u n
mnc-337_pouch-2	mnc	337_pouch	taparkan	dabargan	t a p a r k a n
mnc-452_noon-1	mnc	452_noon	inɤŋki tulin	inenggi dulin	i n ɤ ŋ k i + t u l i n
mnc-858_stick-1	mnc	858_stick	nukʰampi	nukambi	n u kʰ a m p i
mnc-393_health-1	mnc	393_health	kʰatʰun	katun	kʰ a tʰ u n
mnc-600_atfirst-1	mnc	600_atfirst	ɤmut͡ʃi	emuci	ɤ m u tʃ i
mnc-758_step-2	mnc	758_step	ɔkʰsɔn	okson	ɔ kʰ s ɔ n
mnc-1000_know-1	mnc	1000_know	tʰakʰampi	takambi	tʰ a kʰ a m p i
mnc-81_heat-1	mnc	81_heat	xalxʊn	halhūn	x a l x ʊ n
mnc-444_damage-1	mnc	444_damage	tauran	dauran	t a u r a n
mnc-266_space-1	mnc	266_space	pa	ba	p a
mnc-503_warm-1	mnc	503_warm	xalxʊn	halhūn	x a l x ʊ n
mnc-396_wound-1	mnc	396_wound	fɤjɤ	feye	f ɤ j ɤ
mnc-567_young-1	mnc	567_young	asixa	asiha	a s i x a
mnc-357_oil-2	mnc	357_oil	nimɤŋki	nimenggi	n i m ɤ ŋ k i
mnc-10_forehead-1	mnc	10_forehead	ʃɤŋkin	šenggin	ʃ ɤ ŋ k i n
mnc-497_pointed-2	mnc	497_pointed	d͡ʒɔfɔxɔŋkɔ	jofohonggo	dʒ ɔ f ɔ x ɔ ŋ k ɔ
mnc-511_empty-1	mnc	511_empty	ɤpɤtʰuxun	ebetuhun	ɤ p ɤ tʰ u x u n
mnc-889_select-1	mnc	889_select	silimpi	silimbi	s i l i m p i
mnc-823_place-1	mnc	823_place	tʰuxɤmpi	tuhembi	tʰ u x ɤ m p i
mnc-633_through-1	mnc	633_through	fɔnttɔ	fonddo	f ɔ n t t ɔ
mnc-102_river-1	mnc	102_river	mukʰɤ	muke	m u kʰ ɤ
mnc-531_colourful-1	mnc	531_colourful	pɔt͡ʃɔŋkɔ	boconggo	p ɔ tʃ ɔ ŋ k ɔ
mnc-625_still-2	mnc	625_still	t͡ʃip t͡ʃap	cib cab	tʃ i p + tʃ a p
mnc-495_soft-2	mnc	495_soft	lalaxa	lalaha	l a l a x a
mnc-241_song-1	mnc	241_song	ut͡ʃun	ucun	u tʃ u n
mnc-165_spider-2	mnc	165_spider	xɤlmɤxɤn	helmehen	x ɤ l m ɤ x ɤ n
mnc-585_together-2	mnc	585_together	ɤmki	emgi	ɤ m k i
mnc-332_handle-2	mnc	332_handle	d͡ʒafakʰʊ	jafakū	dʒ a f a kʰ ʊ
mnc-981_say-1	mnc	981_say	xɤntumpi	hendumbi	x ɤ n t u m p i
mnc-571_famous-2	mnc	571_famous	kɤpuŋkɤ	gebungge	k ɤ p u ŋ k ɤ
mnc-947_gather-1	mnc	947_gather	parkijampi	bargiyambi	p a r k i j a m p i
mnc-506_fresh-2	mnc	506_fresh	nijarxʊn	niyarhūn	n i j a r x ʊ n
mnc-501_beautiful-2	mnc	501_beautiful	xɔt͡ʃikʰɔn	hocikon	x ɔ tʃ i kʰ ɔ n
mnc-835_produce-2	mnc	835_produce	xɤrkɤmpi	hergembi	x ɤ r k ɤ m p i
mnc-858_stick-2	mnc	858_stick	sintampi	sindambi	s i n t a m p i
mnc-19_head-1	mnc	19_head	ud͡ʒu	uju	u dʒ u
mnc-745_fallill-1	mnc	745_fallill	xatʰarampi	hatarambi	x a tʰ a r a m p i
mnc-707_snap-1	mnc	707_snap	tʰatʰampi	tatambi	tʰ a tʰ a m p i
mnc-742_wakeup-1	mnc	742_wakeup	kɤtʰɤmpi	getembi	k ɤ tʰ ɤ m p i
mnc-762_dash-1	mnc	762_dash	ɲɔlxumpi	niolhumbi	ɲ ɔ l x u m p i
mnc-427_benefit-1	mnc	427_benefit	tʰusa	tusa	tʰ u s a
mnc-747_ache-1	mnc	747_ache	t͡ʃakʰsimpi	caksimbi	tʃ a kʰ s i m p i
mnc-490_delicatefine-1	mnc	490_delicatefine	ɔixɔri	oihori	ɔ i x ɔ r i
mnc-847_lift-1	mnc	847_lift	ud͡ʒimpi	ujimbi	u dʒ i m p i
mnc-622_hardly-1	mnc	622_hardly	ɤlɤkʰɤi	elekei	ɤ l ɤ kʰ ɤ i
mnc-257_part-2	mnc	257_part	fijɤntʰɤxɤ	fiyentehe	f i j ɤ n tʰ ɤ x ɤ
mnc-681_become-1	mnc	681_become	pand͡ʒimpi	banjimbi	p a n dʒ i m p i
mnc-686_rise-1	mnc	686_rise	tʰut͡ʃimpi	tucimbi	tʰ u tʃ i m p i
mnc-487_dense-3	mnc	487_dense	d͡ʒad͡ʒuri	jajuri	dʒ a dʒ u r i
mnc-989_name-1	mnc	989_name	kɤpulɤmpi	gebulembi	k ɤ p u l ɤ m p i
mnc-921_play-2	mnc	921_play	fitʰxɤmpi	fithembi	f i tʰ x ɤ m p i
mnc-941_conceal-2	mnc	941_conceal	tasitʰampi	dasitambi	t a s i tʰ a m p i
mnc-92_meadow-1	mnc	92_meadow	ɔŋkʰɔ	ongko	ɔ ŋ kʰ ɔ
mnc-973_sweep-1	mnc	973_sweep	ɤrimpi	erimbi	ɤ r i m p i
mnc-255_sort-1	mnc	255_sort	xat͡ʃin	hacin	x a tʃ i n
mnc-925_leave-1	mnc	925_leave	ald͡ʒampi	aljambi	a l dʒ a m p i
mnc-642_he-1	mnc	642_he	i	i	i
mnc-94_hill-1	mnc	94_hill	ala	ala	a l a
mnc-571_famous-3	mnc	571_famous	saiʃaŋka	saišangga	s a i ʃ a ŋ k a
mnc-929_defend-2	mnc	929_defend	akʰtulampi	akdulambi	a kʰ t u l a m p i
mnc-816_finish-1	mnc	816_finish	tupɤmpi	dubembi	t u p ɤ m p i
mnc-863_rub-1	mnc	863_rub	piʃumpi	bišumbi	p i ʃ u m p i
mnc-694_sway-1	mnc	694_sway	xaixarʃampi	haiharšambi	x a i x a r ʃ a m p i
mnc-568_poor-2	mnc	568_poor	jataxʊn	yadahūn	j a t a x ʊ n
mnc-377_cap-1	mnc	377_cap	jɤkʰsɤ	yekse	j ɤ kʰ s ɤ
mnc-530_grey-1	mnc	530_grey	pɔrɔ	boro	p ɔ r ɔ
mnc-880_hide-2	mnc	880_hide	tasitʰampi	dasitambi	t a s i tʰ a m p i
mnc-90_swamp-3	mnc	90_swamp	lɤpɤŋki pa	lebenggi ba	l ɤ p ɤ ŋ k i + p a
mnc-927_guard-1	mnc	927_guard	tʰuwakʰijampi	tuwakiyambi	tʰ u w a kʰ i j a m p i
mnc-145_hare-1	mnc	145_hare	kʊlmaxʊn	gūlmahūn	k ʊ l m a x ʊ n
mnc-261_line-3	mnc	261_line	d͡ʒuturan	juduran	dʒ u t u r a n
mnc-49_breath-1	mnc	49_breath	kʰi	ki	kʰ i
mnc-795_beannoyed-1	mnc	795_beannoyed	kusut͡ʃumpi	gusucumbi	k u s u tʃ u m p i
mnc-34_foot-1	mnc	34_foot	pɤtʰxɤ	bethe	p ɤ tʰ x ɤ
mnc-878_catch-1	mnc	878_catch	tʰampi	tambi	tʰ a m p i
mnc-921_play-1	mnc	921_play	tɤrimpi	derimbi	t ɤ r i m p i
mnc-801_lookat-2	mnc	801_lookat	tʰuwampi	tuwambi	tʰ u w a m p i
mnc-975_wash-2	mnc	975_wash	wɤrɤmpi	werembi	w ɤ r ɤ m p i
mnc-792_move-3	mnc	792_move	kurimpi	gurimbi	k u r i m p i
mnc-58_moon-1	mnc	58_moon	pija	biya	p i j a
mnc-148_bird-1	mnc	148_bird	t͡ʃɤt͡ʃikʰɤ	cecike	tʃ ɤ tʃ i kʰ ɤ
mnc-64_stone-1	mnc	64_stone	wɤxɤ	wehe	w ɤ x ɤ
mnc-600_atfirst-3	mnc	600_atfirst	ɤmu ɔt͡ʃi	emu oci	ɤ m u + ɔ tʃ i
mnc-810_hear-1	mnc	810_hear	tɔnd͡ʒimpi	donjimbi	t ɔ n dʒ i m p i
mnc-562_true-3	mnc	562_true	jarkijaŋka	yargiyangga	j a r k i j a ŋ k a
mnc-667_forty-1	mnc	667_forty	tɤxi	dehi	t ɤ x i
mnc-950_fish-2	mnc	950_fish	nimaxaʃampi	nimahašambi	n i m a x a ʃ a m p i
mnc-986_request-1	mnc	986_request	fɔnd͡ʒimpi	fonjimbi	f ɔ n dʒ i m p i
mnc-944_kill-1	mnc	944_kill	wampi	wambi	w a m p i
mnc-236_sign-1	mnc	236_sign	kʊnin	gūnin	k ʊ n i n
mnc-473_december-1	mnc	473_december	d͡ʒɔrkɔn pija	jorgon biya	dʒ ɔ r k ɔ n + p i j a
mnc-968_clean-1	mnc	968_clean	pɔlkɔmpi	bolgombi	p ɔ l k ɔ m p i
mnc-121_fir-1	mnc	121_fir	d͡ʒakʰsun	jaksun	dʒ a kʰ s u n
mnc-603_often-2	mnc	603_often	taruxai	daruhai	t a r u x a i
mnc-651_why-1	mnc	651_why	ai sɤmɤ	ai seme	a i + s ɤ m ɤ
mnc-830_pickup-3	mnc	830_pickup	tʰuŋkijɤmpi	tunggiyembi	tʰ u ŋ k i j ɤ m p i
mnc-914_urge-2	mnc	914_urge	pɔʃɔmpi	bošombi	p ɔ ʃ ɔ m p i
mnc-808_seem-3	mnc	808_seem	kɤpɤkʰɤld͡ʒɤmpi	gebekeljembi	k ɤ p ɤ kʰ ɤ l dʒ ɤ m p i
mnc-320_fence-1	mnc	320_fence	d͡ʒɤrkuwɤn	jerguwen	dʒ ɤ r k u w ɤ n
mnc-989_name-2	mnc	989_name	kɤpu pumpi	gebu bumbi	k ɤ p u + p u m p i
mnc-982_speak-2	mnc	982_speak	kisurɤmpi	gisurembi	k i s u r ɤ m p i
mnc-702_melt-1	mnc	702_melt	wɤmpi	wembi	w ɤ m p i
mnc-185_iron-1	mnc	185_iron	sɤlɤ	sele	s ɤ l ɤ
mnc-161_perch-1	mnc	161_perch	kʰijakʰʊ	kiyakū	kʰ i j a kʰ ʊ
mnc-472_november-1	mnc	472_november	ɔmʃɔn pija	omšon biya	ɔ m ʃ ɔ n + p i j a
mnc-964_stir-1	mnc	964_stir	kʰʊrtampi	kūrdambi	kʰ ʊ r t a m p i
mnc-768_swim-1	mnc	768_swim	ʃɤtʰumpi	šetumbi	ʃ ɤ tʰ u m p i
mnc-261_line-2	mnc	261_line	sid͡ʒin	sijin	s i dʒ i n
mnc-752_move-2	mnc	752_move	aʃʃampi	aššambi	a ʃ ʃ a m p i
mnc-146_mouse-1	mnc	146_mouse	siŋkɤri	singgeri	s i ŋ k ɤ r i
mnc-911_instruct-2	mnc	911_instruct	tʰat͡ʃixijampi	tacihiyambi	tʰ a tʃ i x i j a m p i
mnc-53_odour-1	mnc	53_odour	amtʰan	amtan	a m tʰ a n
mnc-614_back-1	mnc	614_back	t͡ʃasxʊn	cashūn	tʃ a s x ʊ n
mnc-658_six-1	mnc	658_six	niŋkun	ninggun	n i ŋ k u n
mnc-652_howmuch-2	mnc	652_howmuch	ja kɤsɤ	ya gese	j a + k ɤ s ɤ
mnc-196_boy-2	mnc	196_boy	xaxa d͡ʒui	haha jui	x a x a + dʒ u i
mnc-986_request-2	mnc	986_request	aŋkalampi	anggalambi	a ŋ k a l a m p i
mnc-110_grass-1	mnc	110_grass	ɔrxɔ	orho	ɔ r x ɔ
mnc-875_pull-2	mnc	875_pull	kɔt͡ʃimpi	gocimbi	k ɔ tʃ i m p i
mnc-763_run-1	mnc	763_run	surtʰɤmpi	surtembi	s u r tʰ ɤ m p i
mnc-818_succeed-1	mnc	818_succeed	kusxɤmpi	gushembi	k u s x ɤ m p i
mnc-532_cheap-1	mnc	532_cheap	d͡ʒa	ja	dʒ a
mnc-189_glass-1	mnc	189_glass	pɔli	boli	p ɔ l i
mnc-20_back-2	mnc	20_back	sɤirɤ	seire	s ɤ i r ɤ
mnc-877_throw-1	mnc	877_throw	tʰulɤmpi	tulembi	tʰ u l ɤ m p i
mnc-450_day-2	mnc	450_day	inɤŋki	inenggi	i n ɤ ŋ k i
mnc-764_jump-2	mnc	764_jump	fɤkʰt͡ʃɤmpi	fekcembi	f ɤ kʰ tʃ ɤ m p i
mnc-864_spread-1	mnc	864_spread	id͡ʒumpi	ijumbi	i dʒ u m p i
mnc-886_receive-2	mnc	886_receive	parkijampi	bargiyambi	p a r k i j a m p i
mnc-732_tremble-2	mnc	732_tremble	tɤŋsitʰɤmpi	dengsitembi	t ɤ ŋ s i tʰ ɤ m p i
mnc-839_alter-3	mnc	839_alter	xalampi	halambi	x a l a m p i
mnc-803_hear-1	mnc	803_hear	tɔnd͡ʒimpi	donjimbi	t ɔ n dʒ i m p i
mnc-839_alter-2	mnc	839_alter	kʊwalijampi	gūwaliyambi	k ʊ w a l i j a m p i
mnc-602_sometimes-3	mnc	602_sometimes	ɤmɤmu ɤrintɤ	ememu erinde	ɤ m ɤ m u + ɤ r i n t ɤ
mnc-574_near-2	mnc	574_near	xant͡ʃikʰi	hanciki	x a n tʃ i kʰ i
mnc-598_afterwards-1	mnc	598_afterwards	amari	amari	a m a r i
mnc-545_lazy-1	mnc	545_lazy	panuxʊn	banuhūn	p a n u x ʊ n
mnc-937_shove-2	mnc	937_shove	t͡ʃuŋʊʃampi	cungūšambi	tʃ u ŋ ʊ ʃ a m p i
mnc-527_yellow-1	mnc	527_yellow	suwajan	suwayan	s u w a j a n
mnc-33_toe-1	mnc	33_toe	simxun	simhun	s i m x u n
mnc-418_boss-1	mnc	418_boss	ud͡ʒu	uju	u dʒ u
mnc-916_invite-1	mnc	916_invite	sɔlimpi	solimbi	s ɔ l i m p i
mnc-842_bend-1	mnc	842_bend	pukʰtampi	bukdambi	p u kʰ t a m p i
mnc-673_ahundred-1	mnc	673_ahundred	t͡ʃɤn	cen	tʃ ɤ n
mnc-171_berry-3	mnc	171_berry	d͡ʒand͡ʒuri	janjuri	dʒ a n dʒ u r i
mnc-980_decorate-2	mnc	980_decorate	mijamimpi	miyamimbi	m i j a m i m p i
mnc-67_dust-1	mnc	67_dust	purakʰi	buraki	p u r a kʰ i
mnc-978_getdressed-1	mnc	978_getdressed	ɤtʰukʰulɤmpi	etukulembi	ɤ tʰ u kʰ u l ɤ m p i
mnc-848_seize-1	mnc	848_seize	d͡ʒafampi	jafambi	dʒ a f a m p i
mnc-616_down-3	mnc	616_down	lilt͡ʃi	lilci	l i l tʃ i
mnc-467_june-1	mnc	467_june	niŋkun pija	ninggun biya	n i ŋ k u n + p i j a
mnc-500_heavy-2	mnc	500_heavy	lɤtʰɤ latʰa	lete lata	l ɤ tʰ ɤ + l a tʰ a
mnc-836_build-1	mnc	836_build	saxamɤ wɤilɤmpi	sahame weilembi	s a x a m ɤ + w ɤ i l ɤ m p i
mnc-929_defend-3	mnc	929_defend	sɤrɤmʃɤmpi	seremšembi	s ɤ r ɤ m ʃ ɤ m p i
mnc-439_bow-1	mnc	439_bow	pɤri	beri	p ɤ r i
mnc-812_do-1	mnc	812_do	arampi	arambi	a r a m p i
mnc-947_gather-2	mnc	947_gather	kanampi	ganambi	k a n a m p i
mnc-193_man-1	mnc	193_man	xaxa	haha	x a x a
mnc-434_border-1	mnc	434_border	kʊsixija	gūsihiya	k ʊ s i x i j a
mnc-903_praise-1	mnc	903_praise	t͡ʃakʰsimpi	caksimbi	tʃ a kʰ s i m p i
mnc-256_piece-3	mnc	256_piece	talkan	dalgan	t a l k a n
mnc-193_man-2	mnc	193_man	ɤikɤn	eigen	ɤ i k ɤ n
mnc-543_evil-3	mnc	543_evil	miɔsixɔn	miosihon	m i ɔ s i x ɔ n
mnc-32_nail-1	mnc	32_nail	xitʰaxʊn	hitahūn	x i tʰ a x ʊ n
mnc-781_comeback-2	mnc	781_comeback	pɤtɤrɤmpi	bederembi	p ɤ t ɤ r ɤ m p i
mnc-608_hence-1	mnc	608_hence	upat͡ʃi	ubaci	u p a tʃ i
mnc-961_boil-3	mnc	961_boil	puta arampi	buda arambi	p u t a + a r a m p i
mnc-275_tip-2	mnc	275_tip	pɔŋkɔ	bonggo	p ɔ ŋ k ɔ
mnc-758_step-1	mnc	758_step	fɤxʊn	fehūn	f ɤ x ʊ n
mnc-534_precious-2	mnc	534_precious	xixan	hihan	x i x a n
mnc-398_medicine-1	mnc	398_medicine	taifu i tɔrɔ	daifu i doro	t a i f u + i + t ɔ r ɔ
mnc-535_blind-2	mnc	535_blind	xid͡ʒuxʊn	hijuhūn	x i dʒ u x ʊ n
mnc-580_second-1	mnc	580_second	d͡ʒat͡ʃin	jacin	dʒ a tʃ i n
mnc-864_spread-2	mnc	864_spread	sɤkʰtʰɤmpi	sektembi	s ɤ kʰ tʰ ɤ m p i
mnc-174_onion-1	mnc	174_onion	ɤlu	elu	ɤ l u
mnc-576_left-1	mnc	576_left	xasxʊ	hashū	x a s x ʊ
mnc-697_burn-1	mnc	697_burn	tampi	dambi	t a m p i
mnc-998_understand-1	mnc	998_understand	sampi	sambi	s a m p i
mnc-601_once-2	mnc	601_once	ɤmu mari	emu mari	ɤ m u + m a r i
mnc-769_dive-1	mnc	769_dive	furimpi	furimbi	f u r i m p i
mnc-830_pickup-1	mnc	830_pickup	ud͡ʒimpi	ujimbi	u dʒ i m p i
mnc-698_smoke-3	mnc	698_smoke	akʰijapumpi	akiyabumbi	a kʰ i j a p u m p i
mnc-433_power-1	mnc	433_power	ɤrtɤmu	erdemu	ɤ r t ɤ m u
mnc-24_breast-1	mnc	24_breast	xuxun	huhun	x u x u n
mnc-541_slim-1	mnc	541_slim	kʰaŋkili	kanggili	kʰ a ŋ k i l i
mnc-323_broom-1	mnc	323_broom	ɤrikʰu	eriku	ɤ r i kʰ u
mnc-628_again-1	mnc	628_again	taxʊn	dahūn	t a x ʊ n
mnc-40_skin-2	mnc	40_skin	nɔtʰxɔ	notho	n ɔ tʰ x ɔ
mnc-976_takeoff-1	mnc	976_takeoff	kaimpi	gaimbi	k a i m p i
mnc-445_misfortune-1	mnc	445_misfortune	kɔsixɔn	gosihon	k ɔ s i x ɔ n
mnc-44_bone-2	mnc	44_bone	kiraŋki	giranggi	k i r a ŋ k i
mnc-701_thaw-1	mnc	701_thaw	wɤrumpi	werumbi	w ɤ r u m p i
mnc-623_very-3	mnc	623_very	tɤr tar sɤmɤ	der dar seme	t ɤ r + t a r + s ɤ m ɤ
mnc-311_table-1	mnc	311_table	tɤrɤ	dere	t ɤ r ɤ
mnc-317_window-1	mnc	317_window	fa	fa	f a
mnc-260_cross-1	mnc	260_cross	ʃakʰa	šaka	ʃ a kʰ a
mnc-398_medicine-2	mnc	398_medicine	ɔkʰtʰɔ	okto	ɔ kʰ tʰ ɔ
mnc-491_firmsolid-3	mnc	491_firmsolid	akʰtuŋka	akdungga	a kʰ t u ŋ k a
mnc-529_green-1	mnc	529_green	ɲɔwaŋkijan	niowanggiyan	ɲ ɔ w a ŋ k i j a n
mnc-544_stupid-2	mnc	544_stupid	tusixijɤn	dusihiyen	t u s i x i j ɤ n
mnc-412_death-1	mnc	412_death	altasi	aldasi	a l t a s i
mnc-829_light-1	mnc	829_light	fɔsɔmpi	fosombi	f ɔ s ɔ m p i
mnc-604_always-2	mnc	604_always	aikʰa ɔxɔtɤ	aika ohode	a i kʰ a + ɔ x ɔ t ɤ
mnc-767_creep-1	mnc	767_creep	pisurɤmpi	bisurembi	p i s u r ɤ m p i
mnc-446_fault-1	mnc	446_fault	fijɤrɤn	fiyeren	f i j ɤ r ɤ n
mnc-984_chat-1	mnc	984_chat	tʰatʰampi	tatambi	tʰ a tʰ a m p i
mnc-237_call-1	mnc	237_call	tɤrɤ	dere	t ɤ r ɤ
mnc-663_eleven-1	mnc	663_eleven	d͡ʒuwan ɤmu	juwan emu	dʒ u w a n + ɤ m u
mnc-728_blow-1	mnc	728_blow	tampi	dambi	t a m p i
mnc-557_living-1	mnc	557_living	wɤixun	weihun	w ɤ i x u n
mnc-671_eighty-1	mnc	671_eighty	d͡ʒakʰʊnd͡ʒu	jakūnju	dʒ a kʰ ʊ n dʒ u
mnc-737_eat-2	mnc	737_eat	puta d͡ʒɤmpi	buda jembi	p u t a + dʒ ɤ m p i
mnc-509_dry-1	mnc	509_dry	ɔlxɔn	olhon	ɔ l x ɔ n
mnc-63_water-1	mnc	63_water	mukʰɤ	muke	m u kʰ ɤ
mnc-419_master-1	mnc	419_master	pɔikɔd͡ʒi	boigoji	p ɔ i k ɔ dʒ i
mnc-824_lay-1	mnc	824_lay	sintampi	sindambi	s i n t a m p i
mnc-549_skilful-3	mnc	549_skilful	nɤrki	nergi	n ɤ r k i
mnc-996_recognize-1	mnc	996_recognize	tʰakʰampi	takambi	tʰ a kʰ a m p i
mnc-409_character-1	mnc	409_character	xɤrkɤn	hergen	x ɤ r k ɤ n
mnc-560_correct-1	mnc	560_correct	uru	uru	u r u
mnc-896_destroy-1	mnc	896_destroy	ɤfulɤmpi	efulembi	ɤ f u l ɤ m p i
mnc-193_man-3	mnc	193_man	nijalma	niyalma	n i j a l m a
mnc-448_end-1	mnc	448_end	ʃala	šala	ʃ a l a
mnc-935_kick-2	mnc	935_kick	fɤsxɤlɤmpi	feshelembi	f ɤ s x ɤ l ɤ m p i
mnc-701_thaw-2	mnc	701_thaw	mukʰɤnɤmpi	mukenembi	m u kʰ ɤ n ɤ m p i
mnc-123_feather-1	mnc	123_feather	fuŋaxa	fungaha	f u ŋ a x a
mnc-672_ninety-1	mnc	672_ninety	ujund͡ʒu	uyunju	u j u n dʒ u
mnc-700_freeze-3	mnc	700_freeze	kɤt͡ʃɤmpi	gecembi	k ɤ tʃ ɤ m p i
mnc-25_shoulder-1	mnc	25_shoulder	aitakan	aidagan	a i t a k a n
mnc-244_nation-1	mnc	244_nation	irkɤn	irgen	i r k ɤ n
mnc-868_shake-1	mnc	868_shake	fisiximpi	fisihimbi	f i s i x i m p i
mnc-125_wing-1	mnc	125_wing	asxa	asha	a s x a
mnc-944_kill-2	mnc	944_kill	sɤtɤmpi	sedembi	s ɤ t ɤ m p i
mnc-895_tear-2	mnc	895_tear	xʊwad͡ʒampi	hūwajambi	x ʊ w a dʒ a m p i
mnc-761_hurry-2	mnc	761_hurry	ɤkʰʃɤmpi	ekšembi	ɤ kʰ ʃ ɤ m p i
mnc-726_bark-1	mnc	726_bark	kʊwampi	gūwambi	k ʊ w a m p i
mnc-546_diligent-1	mnc	546_diligent	ɤd͡ʒɤkʰɤ	ejeke	ɤ dʒ ɤ kʰ ɤ
mnc-840_dig-2	mnc	840_dig	fɤtʰɤrɤmpi	feterembi	f ɤ tʰ ɤ r ɤ m p i
mnc-802_watch-1	mnc	802_watch	jasalampi	yasalambi	j a s a l a m p i
mnc-1010_own-1	mnc	1010_own	d͡ʒafampi	jafambi	dʒ a f a m p i
mnc-776_stop-1	mnc	776_stop	ilimpi	ilimbi	i l i m p i
mnc-228_message-1	mnc	228_message	mɤtɤ	mede	m ɤ t ɤ
mnc-198_family-1	mnc	198_family	xala	hala	x a l a
mnc-184_filth-2	mnc	184_filth	fɔŋsɔn	fongson	f ɔ ŋ s ɔ n
mnc-173_mushroom-1	mnc	173_mushroom	mɤku	megu	m ɤ k u
mnc-302_supportrest-1	mnc	302_supportrest	maʃan	mašan	m a ʃ a n
mnc-733_live-1	mnc	733_live	tʰɤmpi	tembi	tʰ ɤ m p i
mnc-692_flow-1	mnc	692_flow	ɤjɤmpi	eyembi	ɤ j ɤ m p i
mnc-256_piece-2	mnc	256_piece	farsi	farsi	f a r s i
mnc-943_cheat-2	mnc	943_cheat	patʰkʰalampi	batkalambi	p a tʰ kʰ a l a m p i
mnc-488_thick-3	mnc	488_thick	d͡ʒiramin	jiramin	dʒ i r a m i n
mnc-538_strong-1	mnc	538_strong	ɤlxɤŋkɤ	elhengge	ɤ l x ɤ ŋ k ɤ
mnc-714_increase-1	mnc	714_increase	nɤmɤmpi	nemembi	n ɤ m ɤ m p i
mnc-594_then-1	mnc	594_then	tʰɤrɤt͡ʃi	tereci	tʰ ɤ r ɤ tʃ i
mnc-904_kiss-2	mnc	904_kiss	aŋka ɔd͡ʒɔmpi	angga ojombi	a ŋ k a + ɔ dʒ ɔ m p i
mnc-168_gnat-1	mnc	168_gnat	ɔjɔ	oyo	ɔ j ɔ
mnc-544_stupid-1	mnc	544_stupid	ɤxɤlijan	eheliyan	ɤ x ɤ l i j a n
mnc-273_edge-1	mnc	273_edge	xɔʃɔ	hošo	x ɔ ʃ ɔ
mnc-26_arm-2	mnc	26_arm	majan	mayan	m a j a n
mnc-67_dust-2	mnc	67_dust	furanaxa	furanaha	f u r a n a x a
mnc-285_heap-1	mnc	285_heap	pɔrxɔn	borhon	p ɔ r x ɔ n
mnc-64_stone-2	mnc	64_stone	wɤxɤŋkɤ	wehengge	w ɤ x ɤ ŋ k ɤ
mnc-951_catch-1	mnc	951_catch	ɔmimpi	omimbi	ɔ m i m p i
mnc-482_little-1	mnc	482_little	ad͡ʒikɤ	ajige	a dʒ i k ɤ
mnc-934_beat-3	mnc	934_beat	tɤptɤrɤmpi	debderembi	t ɤ p t ɤ r ɤ m p i
mnc-451_morning-1	mnc	451_morning	t͡ʃimaxa	cimaha	tʃ i m a x a
mnc-319_gate-2	mnc	319_gate	aŋka	angga	a ŋ k a
mnc-845_turnturnaround-3	mnc	845_turnturnaround	kʰurpulampi	kurbulambi	kʰ u r p u l a m p i
mnc-214_happiness-2	mnc	214_happiness	kʰɤkʰsɤn	keksen	kʰ ɤ kʰ s ɤ n
mnc-535_blind-1	mnc	535_blind	tɔkɔ	dogo	t ɔ k ɔ
mnc-915_let-2	mnc	915_let	fakʰt͡ʃampi	fakcambi	f a kʰ tʃ a m p i
mnc-891_hinder-1	mnc	891_hinder	kʰampi	kambi	kʰ a m p i
mnc-451_morning-2	mnc	451_morning	t͡ʃimari	cimari	tʃ i m a r i
mnc-617_above-1	mnc	617_above	tɤrki	dergi	t ɤ r k i
mnc-892_spoil-1	mnc	892_spoil	kʊwaʃampi	gūwašambi	k ʊ w a ʃ a m p i
mnc-240_tone-1	mnc	240_tone	mutan	mudan	m u t a n
mnc-622_hardly-2	mnc	622_hardly	ɤtʰnɤkki	etneggi	ɤ tʰ n ɤ k k i
mnc-985_ask-3	mnc	985_ask	fɔnd͡ʒintumpi	fonjindumbi	f ɔ n dʒ i n t u m p i
mnc-499_blunt-1	mnc	499_blunt	mɔt͡ʃɔ	moco	m ɔ tʃ ɔ
mnc-761_hurry-3	mnc	761_hurry	ɔjɔmpumpi	oyombumbi	ɔ j ɔ m p u m p i
mnc-122_horn-2	mnc	122_horn	pulɤri	buleri	p u l ɤ r i
mnc-922_sing-1	mnc	922_sing	ut͡ʃulɤmpi	uculembi	u tʃ u l ɤ m p i
mnc-177_hay-1	mnc	177_hay	xifɤ	hife	x i f ɤ
mnc-713_decrease-1	mnc	713_decrease	sumpi	sumbi	s u m p i
mnc-256_piece-1	mnc	256_piece	tʰupi	tubi	tʰ u p i
mnc-603_often-1	mnc	603_often	d͡ʒiŋ	jing	dʒ i ŋ
mnc-415_sin-1	mnc	415_sin	ɤxɤ sui	ehe sui	ɤ x ɤ + s u i
mnc-306_pipe-2	mnc	306_pipe	tʰɤifun	teifun	tʰ ɤ i f u n
mnc-362_tea-1	mnc	362_tea	t͡ʃai	cai	tʃ a i
